Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-235.762800,-113.254700,-90.000000,bottom
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-209.630100,-40.284400,180.000000,bottom
"C7","3.3n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-253.368900,-33.125200,180.000000,bottom
"C8","3.3n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-253.542800,-48.844200,180.000000,bottom
"C9","3.3n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-253.356000,-45.466000,180.000000,bottom
"C10","3.3n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-253.483000,-61.214000,180.000000,bottom
"C11","3.3n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-253.441200,-76.936600,180.000000,bottom
"C12","3.3n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-253.492000,-89.941400,180.000000,bottom
"C13","3.3n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-253.483000,-66.040000,180.000000,bottom
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-261.865000,-34.544000,0.000000,bottom
"C15","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-208.969700,-59.563000,180.000000,bottom
"C16","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-261.883000,-50.292000,0.000000,bottom
"C17","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-209.731700,-76.327000,180.000000,bottom
"C18","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-257.556000,-66.040000,0.000000,bottom
"C20","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-261.883000,-78.232000,0.000000,bottom
"C21","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-263.525000,-74.117200,0.000000,bottom
"C22","3.3n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-222.259000,-36.830000,180.000000,bottom
"C23","3.3n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-222.259000,-46.990000,180.000000,bottom
"C24","3.3n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-222.250000,-54.356000,180.000000,bottom
"C25","3.3n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-222.259000,-64.516000,180.000000,bottom
"C26","3.3n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-221.996000,-70.612000,180.000000,bottom
"C27","3.3n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-222.005000,-80.772000,180.000000,bottom
"C28","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-217.941000,-69.850000,0.000000,bottom
"C29","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-260.328500,-93.980000,180.000000,bottom
"C33","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-222.779500,-94.488000,0.000000,bottom
"C34","2n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-209.740700,-34.086800,180.000000,bottom
"C35","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-253.386500,-39.344600,180.000000,bottom
"C36","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-217.923000,-35.553601,0.000000,bottom
"C37","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-253.546700,-54.965600,180.000000,bottom
"C38","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-217.923000,-53.594000,0.000000,bottom
"C39","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-253.445100,-83.312000,180.000000,bottom
"C49","1n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-214.122000,-101.875500,-90.000000,bottom
"C50","1n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-210.798500,-86.868000,180.000000,bottom
"C51","1n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-222.790000,-101.875500,-90.000000,bottom
"C52","1n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-253.962500,-94.488000,180.000000,bottom
"C53","1n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-266.522200,-93.472000,0.000000,bottom
"C54","2n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-209.677000,-69.977000,180.000000,bottom
"C55","2n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-209.067400,-53.365400,180.000000,bottom
"C56","2n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-208.962300,-65.811400,180.000000,bottom
"C57","2n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-209.520700,-46.583600,180.000000,bottom
"C58","2n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-209.727800,-82.600800,180.000000,bottom
"C59","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-247.523000,-70.658900,90.000000,bottom
"C60","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-226.923600,-37.672100,90.000000,bottom
"C62","2n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-261.819300,-89.916000,180.000000,bottom
"C63","2n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-261.844700,-62.001400,180.000000,bottom
"C64","2n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-266.018100,-39.268400,180.000000,bottom
"C65","2n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-261.920900,-46.228000,180.000000,bottom
"C66","2n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-265.984900,-55.321200,180.000000,bottom
"C67","2n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-265.916500,-83.058000,180.000000,bottom
"C68","2n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-265.687900,-71.374000,180.000000,bottom
"C69","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-235.508800,-127.076200,90.000000,bottom
"D1","CDBM140-G","D_SMA-SMB_Universal_Handsoldering",-230.551400,-107.594400,180.000000,bottom
"D2","CDBM140-G","D_SMA-SMB_Universal_Handsoldering",-232.998600,-131.699000,0.000000,bottom
"L1","BLM21PG220SH1D","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-226.568000,-112.182800,-90.000000,bottom
